namespace,class,func,docstring,taint_summary,memory_summary
"std::list<T,Allocator>::merge",list,"template< class Compare >
void merge( list& other, Compare comp );","如果 other 与 *this 指代同一对象，那么什么也不做。

否则，将 other 合并到 *this。两个链表都应有序。不复制元素，并且在操作后容器 other 会变为空。此操作是稳定的：对于两个链表中的等价元素，来自 *this 的元素始终在来自 other 的元素之前，并且不更改 *this 和 other 的等价元素顺序。

迭代器和引用不会失效。指向或指代从 other 移走的元素的指针、引用和迭代器将不再涉及 other，而是会指代 *this 中的相同元素。
用 comp 比较元素。
 参数
other	-	要交换的另一容器
comp	-	比较函数对象（即满足比较 (Compare) 概念的对象），在第一参数小于（即先 ﻿序于）第二参数时返回 ​true。
比较函数的签名应等价于如下：

bool cmp(const Type1 &a, const Type2 &b);
返回值
（无）","{
    transitive(<0>, <0> || <1>)
    sanitize(<1>)
}","{
    <0>.field = <1>.field
    <0>.size = <0>.size + <1>.size
    <1>.size = 0
    <1>.field = NULL
}"
"std::list<T,Allocator>::merge",list,"template< class Compare >
void merge( list&& other, Compare comp );","如果 other 与 *this 指代同一对象，那么什么也不做。

否则，将 other 合并到 *this。两个链表都应有序。不复制元素，并且在操作后容器 other 会变为空。此操作是稳定的：对于两个链表中的等价元素，来自 *this 的元素始终在来自 other 的元素之前，并且不更改 *this 和 other 的等价元素顺序。

迭代器和引用不会失效。指向或指代从 other 移走的元素的指针、引用和迭代器将不再涉及 other，而是会指代 *this 中的相同元素。
用 comp 比较元素。
 参数
other	-	要交换的另一容器
comp	-	比较函数对象（即满足比较 (Compare) 概念的对象），在第一参数小于（即先 ﻿序于）第二参数时返回 ​true。
比较函数的签名应等价于如下：

bool cmp(const Type1 &a, const Type2 &b);
返回值
（无）","{
    transitive(<0>, <0> || <1>)
    sanitize(<1>)
}","{
    <0>.field = <1>.field
    <0>.size = <0>.size + <1>.size
    <1>.size = 0
    <1>.field = NULL
}"
"std::list<T,Allocator>::splice",list,"void splice( const_iterator pos, list& other );","从一个 list 转移元素给另一个。

不复制或移动元素，仅对链表结点的内部指针进行重指向。没有迭代器或引用会失效，指向被移动元素的迭代器保持有效，但现在指代到 *this 中，而不是到 other 中。
从 other 转移所有元素到 *this 中。元素被插入到 pos 指向的元素之前。操作后容器 other 变为空。
参数
pos	-	将插入内容到它之前的元素
other	-	要从它转移内容的另一容器
返回值
（无）","{
    transitive(<0>, <0> || <2>)
    sanitize(<2>)
}","{
    overflow(<1>, [<0>.begin, <0>.end])
    <0>.field = <1>.field
    <0>.size = <0>.size + <2>.size
    <2>.size = 0
    <2>.field = NULL
}"
"std::list<T,Allocator>::splice",list,"void splice( const_iterator pos, list&& other );","从一个 list 转移元素给另一个。

不复制或移动元素，仅对链表结点的内部指针进行重指向。没有迭代器或引用会失效，指向被移动元素的迭代器保持有效，但现在指代到 *this 中，而不是到 other 中。
从 other 转移所有元素到 *this 中。元素被插入到 pos 指向的元素之前。操作后容器 other 变为空。
参数
pos	-	将插入内容到它之前的元素
other	-	要从它转移内容的另一容器
返回值
（无）","{
    transitive(<0>,  <0> || <2>)
    sanitize(<2>)
}","{
    overflow(<1>, [<0>.begin, <0>.end])
    <0>.field = <1>.field
    <0>.size = <0>.size + <2>.size
    <2>.size = 0
    <2>.field = NULL
}"
"std::list<T,Allocator>::splice",list,"void splice( const_iterator pos, list& other, const_iterator it );","从一个 list 转移元素给另一个。

不复制或移动元素，仅对链表结点的内部指针进行重指向。没有迭代器或引用会失效，指向被移动元素的迭代器保持有效，但现在指代到 *this 中，而不是到 other 中。
从 other 转移 it 指向的元素到 *this。元素被插入到 pos 指向的元素之前。
参数
pos	-	将插入内容到它之前的元素
other	-	要从它转移内容的另一容器
it	-	要从 other 转移到 *this 的元素
返回值
（无）","{
    transitive(<0>, <0> ||  <3>)
    sanitize(<2>)
}","{
    overflow(<1>, [<0>.begin, <0>.end])
    overflow(<3>, [<2>.begin, <2>.end - 1])
    <0>.field = <3>.field
    <0>.size = <0>.size + 1
    <2>.size = <2>.size - 1
    <2>.field = NULL
}"
"std::list<T,Allocator>::splice",list,"void splice( const_iterator pos, list&& other, const_iterator it );","从一个 list 转移元素给另一个。

不复制或移动元素，仅对链表结点的内部指针进行重指向。没有迭代器或引用会失效，指向被移动元素的迭代器保持有效，但现在指代到 *this 中，而不是到 other 中。
从 other 转移 it 指向的元素到 *this。元素被插入到 pos 指向的元素之前。
参数
pos	-	将插入内容到它之前的元素
other	-	要从它转移内容的另一容器
it	-	要从 other 转移到 *this 的元素
返回值
（无）","{
    transitive(<0>, <0> ||  <3>)
    sanitize(<2>)
}","{
    overflow(<1>, [<0>.begin, <0>.end])
    overflow(<3>, [<2>.begin, <2>.end - 1])
    <0>.field = <3>.field
    <0>.size = <0>.size + 1
    <2>.size = <2>.size - 1
    <2>.field = NULL
}"
"std::list<T,Allocator>::splice",list,"void splice( const_iterator pos, list& other,
             const_iterator first, const_iterator last);","从一个 list 转移元素给另一个。

不复制或移动元素，仅对链表结点的内部指针进行重指向。没有迭代器或引用会失效，指向被移动元素的迭代器保持有效，但现在指代到 *this 中，而不是到 other 中。
从 other 转移范围 [first, last) 中的元素到 *this。元素被插入到 pos 指向的元素之前。
参数
pos	-	将插入内容到它之前的元素
other	-	要从它转移内容的另一容器
it	-	要从 other 转移到 *this 的元素
first, last	-	要从 other 转移到 *this 的元素范围的迭代器对
返回值
（无）","{
    transitive(<0>, <0> || <3> || <4>)
}","{
   overflow(<1>, [<0>.begin, <0>.end])
   overflow(<3>, [<2>.begin, <2>.end])
   overflow(<4>, [<2>.begin, <2>.end])
   <0>.field = <3>.field
   <0>.size = [<0>.size, <0>.size + <2>.size]
   <2>.size = [0, <2>.size]
   <2>.field = NULL
}"
"std::list<T,Allocator>::splice",list,"void splice( const_iterator pos, list&& other,
             const_iterator first, const_iterator last );","从一个 list 转移元素给另一个。

不复制或移动元素，仅对链表结点的内部指针进行重指向。没有迭代器或引用会失效，指向被移动元素的迭代器保持有效，但现在指代到 *this 中，而不是到 other 中。
从 other 转移范围 [first, last) 中的元素到 *this。元素被插入到 pos 指向的元素之前。
参数
pos	-	将插入内容到它之前的元素
other	-	要从它转移内容的另一容器
it	-	要从 other 转移到 *this 的元素
first, last	-	要从 other 转移到 *this 的元素范围的迭代器对
返回值
（无）","{
    transitive(<0>,  <3> || <4>)
}","{
   overflow(<1>, [<0>.begin, <0>.end])
   overflow(<3>, [<2>.begin, <2>.end])
   overflow(<4>, [<2>.begin, <2>.end])
   <0>.field = <3>.field
   <0>.size = [<0>.size, <0>.size + <2>.size]
   <2>.size = [0, <2>.size]
   <2>.field = NULL
}"
"std::list<T,Allocator>::remove",list,void remove( const T& value );,"移除所有满足特定标准的元素。只有指向被移除元素的迭代器和引用会失效。
 移除所有等于 value 的元素（用 operator== 判断）。
 参数
value	-	要移除的元素的值
返回值
（无）","{
}","{
   <0>.size = [0, <0>.size]
}"
"std::list<T,Allocator>::remove",list,size_type remove( const T& value );,"移除所有满足特定标准的元素。只有指向被移除元素的迭代器和引用会失效。
 移除所有等于 value 的元素（用 operator== 判断）。
 参数
value	-	要移除的元素的值
返回值
移除的元素数","{
  transitive(<-1>, <0>)
}","{
   <0>.size = [0, <0>.size]
   <-1> = [0, <0>.size]
}"
"std::list<T,Allocator>::remove_if",list,"template< class UnaryPredicate >
void remove_if( UnaryPredicate p );","移除所有满足特定标准的元素。只有指向被移除元素的迭代器和引用会失效。
移除所有谓词 p 对它返回 true 的元素。
 参数
p	-	若应该移除该元素则返回 ​true 的一元谓词。
对每个（可为 const 的） T 类型参数 v ，表达式 p(v) 必须可转换到 bool，无关乎值类别，而且必须不修改 v 。从而不允许 T& 类型参数，亦不允许 T ，除非对 T 而言移动等价于复制(C++11 起)。​
返回值
无","{
}","{
   <0>.size = [0, <0>.size]
}"
"std::list<T,Allocator>::remove_if",list,"template< class UnaryPredicate >
size_type remove_if( UnaryPredicate p );","移除所有满足特定标准的元素。只有指向被移除元素的迭代器和引用会失效。
移除所有谓词 p 对它返回 true 的元素。
 参数
p	-	若应该移除该元素则返回 ​true 的一元谓词。
对每个（可为 const 的） T 类型参数 v ，表达式 p(v) 必须可转换到 bool，无关乎值类别，而且必须不修改 v 。从而不允许 T& 类型参数，亦不允许 T ，除非对 T 而言移动等价于复制(C++11 起)。​
返回值
移除的元素数","{
  transitive(<-1>, <0>)
}","{
   <0>.size = [0, <0>.size]
   <-1> = [0, <0>.size]
}"
"std::list<T,Allocator>::reverse",list,void reverse();,"逆转容器中的元素顺序。迭代器和引用不会失效。

参数
（无）

返回值
（无）",{},{}
"std::list<T,Allocator>::unique",list,void unique();,"从容器移除所有相继的重复元素。只留下相等元素组中的第一个元素。只有到被移除元素的迭代器和引用会失效。
用 operator== 比较元素。
返回值
无",{},"{
  <0>.size = [0, <0>.size]
}"
"std::list<T,Allocator>::unique",list,size_type unique();,"从容器移除所有相继的重复元素。只留下相等元素组中的第一个元素。只有到被移除元素的迭代器和引用会失效。
用 operator== 比较元素。
返回值
移除的元素数","{
  transitive(<-1>, <0>)
}","{
  <-1> = [0, <0>.size - 1]
  <0>.size = [0, <0>.size]
}"
"std::list<T,Allocator>::unique",list,"template< class BinaryPredicate >
void unique( BinaryPredicate p );","从容器移除所有相继的重复元素。只留下相等元素组中的第一个元素。只有到被移除元素的迭代器和引用会失效。
用二元谓词 p 比较元素。
返回值
无",{},"{
  <0>.size = [0, <0>.size]
}"
"std::list<T,Allocator>::unique",list,"template< class BinaryPredicate >
size_type unique( BinaryPredicate p );","从容器移除所有相继的重复元素。只留下相等元素组中的第一个元素。只有到被移除元素的迭代器和引用会失效。
用二元谓词 p 比较元素。
返回值
移除的元素数","{
  transitive(<-1>, <0>)
}","{
  <-1> = [0, <0>.size - 1]
  <0>.size = [0, <0>.size]
}"
"std::list<T,Allocator>::sort",list,void sort();,排序元素，并保持等价元素的顺序。不会导致迭代器和引用失效。用 operator< 比较元素。,{},{}
"std::list<T,Allocator>::sort",list,"template< class Compare >
void sort( Compare comp );","排序元素，并保持等价元素的顺序。不会导致迭代器和引用失效。用 comp 比较元素。
参数
comp	-	比较函数对象（即满足比较 (Compare) 概念的对象），在第一参数小于（即先 ﻿序于）第二参数时返回 ​true。
比较函数的签名应等价于如下：

bool cmp(const Type1 &a, const Type2 &b);",{},{}
operator==,,"template< class T, class Alloc >
bool operator==( const std::list<T, Alloc>& lhs,

                 const std::list<T, Alloc>& rhs );","比较两个 list 的内容。
检查 lhs 与 rhs 的内容是否相等，即它们是否拥有相同数量的元素且 lhs 中每个元素与 rhs 的同位置元素比较相等。
参数
lhs, rhs	-	要比较内容的 list
返回值
 在 list 内容相等时返回 true，否则返回 false",{},"{
   <-1> = 0 || 1
}"
operator!=,,"template< class T, class Alloc >
bool operator!=( const std::list<T, Alloc>& lhs,

                 const std::list<T, Alloc>& rhs );","比较两个 list 的内容。
检查 lhs 与 rhs 的内容是否相等，即它们是否拥有相同数量的元素且 lhs 中每个元素与 rhs 的同位置元素比较相等。
参数
lhs, rhs	-	要比较内容的 list
返回值
 在 list 内容不相等时返回 true，否则返回 false",{},"{
   <-1> = 0 || 1
}"
operator<,,"template< class T, class Alloc >
bool operator<( const std::list<T, Alloc>& lhs,

                const std::list<T, Alloc>& rhs );","比较两个 list 的内容。
按字典序比较 lhs 与 rhs 的内容。由等价于 std::lexicographical_compare 的函数进行比较。
参数
lhs, rhs	-	要比较内容的 list
返回值
在 lhs 的内容按字典序小于 rhs 的内容时返回 true，否则返回 false",{},"{
   <-1> = 0 || 1
}"
std::list::operator<=,,"template< class T, class Alloc >
bool operator<=( const std::list<T, Alloc>& lhs,

                 const std::list<T, Alloc>& rhs );","比较两个 list 的内容。
按字典序比较 lhs 与 rhs 的内容。由等价于 std::lexicographical_compare 的函数进行比较。
参数
lhs, rhs	-	要比较内容的 list
返回值
在 lhs 的内容按字典序小于 或等于 rhs 的内容时返回 true，否则返回 false",{},"{
   <-1> = 0 || 1
}"
operator>,,"template< class T, class Alloc >
bool operator>( const std::list<T, Alloc>& lhs,

                const std::list<T, Alloc>& rhs );","比较两个 list 的内容。
按字典序比较 lhs 与 rhs 的内容。由等价于 std::lexicographical_compare 的函数进行比较。
参数
lhs, rhs	-	要比较内容的 list
返回值
 在 lhs 的内容按字典序大于 rhs 的内容时返回 true，否则返回 false",{},"{
   <-1> = 0 || 1
}"
operator>=,,"template< class T, class Alloc >
bool operator>=( const std::list<T, Alloc>& lhs,

                 const std::list<T, Alloc>& rhs );","比较两个 list 的内容。
按字典序比较 lhs 与 rhs 的内容。由等价于 std::lexicographical_compare 的函数进行比较。
参数
lhs, rhs	-	要比较内容的 list
返回值
在 lhs 的内容按字典序大于 或等于 rhs 的内容时返回 true，否则返回 false",{},"{
   <-1> = 0 || 1
}"
operator<=>,,"template< class T, class Alloc >
synth-three-way-result<T>
    operator<=>( const std::list<T, Alloc>& lhs,

                 const std::list<T, Alloc>& rhs );","比较两个 list 的内容。
按字典序比较 lhs 与 rhs 的内容。如同通过调用 std::lexicographical_compare_three_way(lhs.begin(), lhs.end(),
                                       rhs.begin(), rhs.end(), synth-three-way) 进行比较。
 返回类型是 synth-three-way 的返回类型（即 synth-three-way-result <T>）。
 如果不满足以下任意条件，那么行为未定义：
T 实现了 three_way_comparable。
为（可有 const 限定的）T 类型的值定义了 <，并且 < 是全序关系。
参数
lhs, rhs	-	要比较内容的 list
返回值
lhs 与 rhs 中的首对不等价元素的相对顺序，如果有这种元素；否则是 lhs.size() <=> rhs.size()。",{},{}
std::swap,,"template< class T, class Alloc >
void swap( std::list<T, Alloc>& lhs,

           std::list<T, Alloc>& rhs );","为 std::list 特化了 std::swap 算法。交换 lhs 与 rhs 的内容。调用 lhs.swap(rhs)。



参数
lhs, rhs	-	要交换内容的容器
返回值
（无）","{
    swapTaint(<1>, <2>)
}","{
   swap(<1>, <2>)
}"
std::swap,,"template< class T, class Alloc >
void swap( std::list<T, Alloc>& lhs,
           std::list<T, Alloc>& rhs )

               noexcept(/* 见下文 */);","为 std::list 特化了 std::swap 算法。交换 lhs 与 rhs 的内容。调用 lhs.swap(rhs)。



参数
lhs, rhs	-	要交换内容的容器
返回值
（无）","{
    swapTaint(<1>, <2>)
}","{
   swap(<1>, <2>)
}"
std::erase,,"template< class T, class Alloc, class U >
std::list<T, Alloc>::size_type

    erase( std::list<T, Alloc>& c, const U& value );"," 从容器中擦除所有比较等于 value 的元素。等价于 return c.remove_if([&](const auto& elem) -> bool { return elem == value; });
 参数
c	-	要从中擦除的容器
value	-	要擦除的值
pred	-	若应该擦除元素则返回 ​true 的一元谓词。
对每个（可为 const 的） T 类型参数 v ，表达式 pred(v) 必须可转换到 bool，无关乎值类别，而且必须不修改 v 。从而不允许 T& 类型参数，亦不允许 T ，除非对 T 而言移动等价于复制(C++11 起)。​
返回值
被擦除的元素数。","{
  transitive(<-1>, <1>)
}","{
   <-1> = [0, <1>.size]
   <1>.size = [0, <1>.size]
}"
std::erase,,"template< class T, class Alloc, class U = T >
std::list<T, Alloc>::size_type

    erase( std::list<T, Alloc>& c, const U& value );"," 从容器中擦除所有比较等于 value 的元素。等价于 return c.remove_if([&](const auto& elem) -> bool { return elem == value; });
 参数
c	-	要从中擦除的容器
value	-	要擦除的值
pred	-	若应该擦除元素则返回 ​true 的一元谓词。
对每个（可为 const 的） T 类型参数 v ，表达式 pred(v) 必须可转换到 bool，无关乎值类别，而且必须不修改 v 。从而不允许 T& 类型参数，亦不允许 T ，除非对 T 而言移动等价于复制(C++11 起)。​
返回值
被擦除的元素数。","{
  transitive(<-1>, <1>)
}","{
   <-1> = [0, <1>.size]
   <1>.size = [0, <1>.size]
}"
std::erase_if,,"template< class T, class Alloc, class Pred >
std::list<T, Alloc>::size_type

    erase_if( std::list<T, Alloc>& c, Pred pred );","从容器中擦除所有满足 pred 的元素。等价于 return c.remove_if(pred);。
 参数
c	-	要从中擦除的容器
value	-	要擦除的值
pred	-	若应该擦除元素则返回 ​true 的一元谓词。
对每个（可为 const 的） T 类型参数 v ，表达式 pred(v) 必须可转换到 bool，无关乎值类别，而且必须不修改 v 。从而不允许 T& 类型参数，亦不允许 T ，除非对 T 而言移动等价于复制(C++11 起)。​
返回值
被擦除的元素数。","{
  transitive(<-1>, <1>)
}","{
   <-1> = [0, <1>.size]
   <1>.size = [0, <1>.size]
}"
